Tyler's Blog,铃某人无人所知的博客
introduction,介绍
Tag,标签
Language,语言
Load %s content,载入%s内容
Edit,编辑
Board,板块
Test,测试
All the content in this website without copyright specification is under {a}CC License {img}{a_end},本站所有未声明权利的内容均遵循{a}CC协议 {img}{a_end}
original,原创
the other half,另一半
events,事件
development,开发
partner stories,合作伙伴故事
jolla story,jolla故事
open source,开源
applications,应用
"hack'n'play","骇玩"
strategy,策略
community,社区
jolla smartphone,jolla手机
accessories,附件
sailfish os,sailfish系统
jolla blog,jolla博客
jolla tablet,jolla平板
hardware,硬件
developer stories,开发者故事
design,设计
iterations,迭代
software updates,软件更新
by {author} posted on {time},由{author}发布于{time}
Posted by {email}{name} on {time},由{email}{name}发布于{time}
Modify,修改
Value,值
My Home Page,我的主页
My Articles,我的文章
Show Introduction on,显示介绍
Show Donation on,显示捐助
My Introduction,自我介绍
My Donating information,我的捐助信息
Donating information,捐助信息
Donating Infomation Status,捐助信息状态
